Zone,Crop,Temp_14d_Avg,Humid_14d_Avg,Rain_14d_Total,Disease_Occurred
Kymore Plateau & Satpura Hills,Soybean,25.6,83.8,4.2,0
Jhabua Hills,Maize,36.3,89.2,0.5,1
Central Narmada Valley,Soybean,28.1,74.4,9.1,0
Nimar Plains,Cotton,20.2,87.2,1.2,1
Chambal Valley,Sorghum,29.9,84.3,49.1,0
Nimar Plains,Soybean,21.9,93.4,0.4,1
Kymore Plateau & Satpura Hills,Soybean,27.9,79.9,60.0,0
Jhabua Hills,Cotton,30.8,56.5,19.8,0
Bundelkhand,Gram,9.1,34.3,13.1,0
Jhabua Hills,Black Gram,26.0,61.0,7.9,1
Northern Hill Region of Chhattisgarh,Paddy,31.4,58.8,3.8,1
Malwa Plateau,Wheat,22.9,63.3,6.5,0
Satpura Highlands,Maize,26.6,76.3,49.7,0
Bundelkhand,Wheat,19.1,43.8,2.0,0
Jhabua Hills,Black Gram,29.7,92.0,3.2,1
Malwa Plateau,Wheat,27.5,55.1,3.4,0
Northern Hill Region of Chhattisgarh,Maize,24.5,76.6,56.5,0
Vindhyan Plateau,Wheat,21.5,34.6,3.9,0
Kymore Plateau & Satpura Hills,Gram,23.5,55.4,4.9,0
Satpura Highlands,Maize,24.1,77.3,13.5,1
Northern Hill Region of Chhattisgarh,Wheat,18.5,60.1,0.6,0
Nimar Plains,Wheat,13.3,34.7,0.9,0
Satpura Highlands,Paddy,28.6,70.4,71.6,0
Jhabua Hills,Maize,27.3,78.2,7.3,0
Kymore Plateau & Satpura Hills,Paddy,27.0,85.5,152.3,1
Bundelkhand,Gram,17.8,48.7,2.1,0
Bundelkhand,Wheat,21.7,49.9,1.4,0
Chhattisgarh Plains,Flaxseed,23.6,40.7,3.2,1
Central Narmada Valley,Gram,22.6,58.2,0.8,0
Chambal Valley,Sorghum,32.9,68.6,41.5,0
Kymore Plateau & Satpura Hills,Soybean,29.4,87.4,18.2,1
Chhattisgarh Plains,Paddy,28.6,86.7,27.0,1
Nimar Plains,Wheat,12.0,52.8,0.5,0
Satpura Highlands,Coarse Millets,27.6,69.8,30.1,1
Vindhyan Plateau,Wheat,23.1,68.3,0.4,0
Central Narmada Valley,Sugarcane,31.2,71.4,0.1,0
Bundelkhand,Gram,25.2,69.9,1.3,0
Malwa Plateau,Soybean,34.6,70.2,26.2,1
Malwa Plateau,Cotton,26.5,81.8,11.5,0
Central Narmada Valley,Soybean,33.5,77.1,24.9,0
Malwa Plateau,Cotton,33.4,84.7,6.5,0
Vindhyan Plateau,Gram,19.9,52.9,1.6,0
Nimar Plains,Cotton,29.5,88.9,85.0,1
Malwa Plateau,Cotton,26.6,61.8,47.6,0
Bundelkhand,Wheat,25.5,45.0,13.3,0
Bundelkhand,Jowar,25.4,96.7,7.3,1
Northern Hill Region of Chhattisgarh,Paddy,31.8,101.3,8.8,1
Bundelkhand,Wheat,16.3,52.9,0.0,0
Vindhyan Plateau,Paddy,29.3,71.8,1.3,1
Bundelkhand,Gram,29.4,39.9,2.0,0
Central Narmada Valley,Soybean,28.3,87.1,1.0,1
Chhattisgarh Plains,Paddy,36.2,81.5,6.1,0
Vindhyan Plateau,Wheat,20.2,40.2,3.9,0
Vindhyan Plateau,Paddy,29.6,74.2,14.2,0
Northern Hill Region of Chhattisgarh,Paddy,37.1,71.9,1.5,1
Bundelkhand,Jowar,37.1,84.9,27.0,0
Kymore Plateau & Satpura Hills,Soybean,38.5,92.4,13.6,1
Chambal Valley,Mustard,18.3,37.8,0.5,0
Vindhyan Plateau,Paddy,26.3,79.3,16.9,0
Malwa Plateau,Soybean,22.0,64.4,23.9,0
Bundelkhand,Jowar,35.8,62.8,17.5,1
Satpura Highlands,Paddy,29.2,80.7,22.0,1
Jhabua Hills,Cotton,36.3,65.1,15.3,0
Satpura Highlands,Coarse Millets,32.0,92.7,5.8,1
Bundelkhand,Wheat,21.4,40.7,0.4,0
Northern Hill Region of Chhattisgarh,Maize,27.5,75.7,29.8,0
Jhabua Hills,Cotton,31.8,79.1,19.9,0
Jhabua Hills,Cotton,36.4,86.3,3.4,1
Jhabua Hills,Soybean,36.2,74.7,35.1,0
Malwa Plateau,Wheat,26.5,50.3,1.9,0
