Crop_Type,Temp_14d_Avg,Humid_14d_Avg,Rain_14d_Total,Disease_Occurred
0,23.1,35.0,10.3,0
1,30.8,90.8,23.6,1
0,21.6,30.1,1.3,1
0,24.6,58.1,1.0,0
0,15.5,70.8,12.9,1
1,27.8,86.8,39.6,1
0,27.6,47.3,0.2,0
0,19.4,50.4,0.4,0
0,29.5,41.6,0.3,0
1,35.2,82.0,7.7,1
0,23.6,68.3,1.3,0
0,22.5,71.0,14.0,1
0,18.9,76.1,3.3,1
0,19.3,76.8,2.7,1
1,25.9,77.2,8.8,0
0,16.0,43.5,0.2,0
1,27.8,82.3,9.7,1
1,32.9,77.9,57.9,0
1,22.4,83.8,94.6,1
0,23.0,62.4,4.7,0
1,24.8,74.7,5.0,0
0,18.2,72.8,0.3,1
1,35.1,74.3,23.8,0
1,25.2,86.3,5.1,1
1,35.7,98.0,1.9,1
1,24.9,76.1,43.9,1
1,29.4,83.3,21.3,1
1,27.1,72.0,9.3,0
1,27.8,97.9,1.7,1
1,25.4,82.2,38.1,1
0,37.2,47.0,8.7,0
0,26.1,82.7,1.6,0
1,31.0,91.1,38.0,1
1,32.1,85.1,23.9,1
1,34.9,86.5,3.5,1
0,21.0,57.2,2.0,0
1,29.8,76.1,35.7,0
0,23.1,55.7,5.0,0
0,25.9,87.4,7.6,0
0,23.5,78.7,16.5,1
0,25.6,57.8,0.5,1
0,19.3,57.9,1.8,0
1,28.7,73.0,8.5,0
1,25.2,83.8,28.4,0
1,35.8,79.3,23.0,0
1,20.8,58.0,3.6,0
1,22.9,87.1,1.7,1
0,14.3,68.1,15.1,0
1,31.3,79.0,10.9,0
1,20.4,73.1,82.7,0
0,20.6,60.3,1.2,0
1,21.7,94.4,40.0,1
0,24.1,61.9,7.4,0
1,31.2,93.3,2.8,0
0,23.2,65.6,8.0,0
1,24.6,98.0,4.5,1
1,28.6,73.2,6.3,0
0,19.3,26.7,0.1,0
0,19.3,18.6,4.6,0
0,26.7,61.4,7.6,0
0,16.2,54.3,1.4,1
0,22.0,37.6,4.8,0
0,20.7,55.4,2.0,0
0,20.5,44.8,0.2,0
0,16.0,50.8,4.2,0
1,25.1,85.7,3.7,0
1,35.0,89.2,0.6,1
0,22.4,45.3,6.2,0
1,32.5,86.4,8.3,1
1,34.6,82.0,12.0,1
1,36.7,82.0,1.7,0
1,24.7,75.2,41.1,0
0,25.1,46.4,5.4,0
1,36.6,84.4,5.2,1
0,22.2,56.8,1.1,0
1,26.7,63.3,40.5,0
1,25.6,95.7,8.5,1
1,29.1,90.5,11.5,1
0,28.5,54.4,11.5,0
1,31.3,64.2,48.7,0
0,30.9,75.7,6.6,0
1,30.5,82.6,4.0,1
0,21.8,72.6,1.4,1
1,31.9,51.5,8.9,0
0,19.8,38.2,17.4,0
0,14.2,72.4,7.4,0
1,27.8,84.8,5.4,0
0,22.5,35.8,2.1,0
1,20.2,75.7,19.2,0
1,26.3,76.5,0.7,0
1,26.4,100.8,37.2,1
1,33.2,82.4,4.6,0
1,27.6,79.6,15.2,1
1,31.7,79.2,7.6,0
1,32.6,83.5,12.1,1
1,38.4,78.6,3.0,0
1,33.5,69.6,4.5,0
1,24.9,99.1,40.5,1
1,32.4,85.0,57.9,1
0,36.4,54.1,10.2,0
0,28.6,72.8,1.2,0
1,36.2,68.5,2.3,0
1,27.7,83.3,40.9,1
1,36.1,84.5,42.2,1
1,33.9,67.7,33.0,0
1,26.5,93.8,34.1,0
1,27.1,80.2,7.8,1
1,36.0,71.5,9.8,0
1,24.8,66.8,5.2,0
0,31.9,70.1,4.8,0
1,32.9,76.8,14.6,0
0,13.7,30.3,4.3,0
1,34.9,85.6,33.5,1
1,31.8,82.8,5.6,1
0,17.5,50.8,3.3,0
1,23.1,69.0,32.5,0
0,27.5,31.4,6.3,0
1,23.1,77.8,4.0,0
1,28.5,66.7,24.7,0
0,12.4,61.6,16.5,0
1,29.1,93.6,0.9,1
0,22.7,63.1,8.6,0
1,24.5,73.4,18.9,0
0,14.5,44.6,7.6,0
0,20.2,73.7,5.5,0
1,23.8,101.5,17.7,1
1,31.2,84.1,4.9,0
0,22.3,52.8,4.7,0
1,25.2,66.3,18.1,0
1,24.0,96.4,11.2,1
1,30.8,96.3,6.4,0
0,18.5,39.8,1.3,0
0,22.2,43.5,0.4,0
0,23.4,31.7,10.6,0
0,10.0,60.6,2.0,0
